TimeStamp,Volatility,Currency,Event
1086080400,3,GBP,Average Earnings Index +Bonus (May)
1086080400,2,GBP,BRC Retail Sales Monitor (YoY) (May)
1086080400,2,GBP,CBI Industrial Trends Orders (May)
1086080400,3,GBP,Claimant Count Change (May)
1086080400,2,GBP,Core Retail Sales (MoM) (May)
1086080400,2,GBP,Core Retail Sales (YoY) (May)
1086080400,3,GBP,CPI (YoY) (May)
1086080400,2,GBP,CPI (MoM) (May)
1086080400,2,GBP,Halifax House Price Index (YoY) (May)
1086080400,2,GBP,Halifax House Price Index (MoM) (May)
1086080400,2,GBP,Industrial Production (MoM) (May)
1086080400,3,GBP,BoE Interest Rate Decision (May)
1086080400,3,GBP,Manufacturing Production (MoM) (May)
1086080400,2,GBP,Nationwide HPI (MoM) (May)
1086080400,2,GBP,Nationwide HPI (YoY) (May)
1086080400,2,GBP,PPI Input (MoM) (May)
1086080400,3,GBP,Retail Sales (MoM) (May)
1086080400,2,GBP,Retail Sales (YoY) (May)
1086080400,2,GBP,RICS House Price Balance (May)
1086080400,2,GBP,Trade Balance (May)
1086080400,2,GBP,Trade Balance Non-EU (May)
1086080400,2,GBP,Unemployment Rate (May)
1086080400,2,USD,10-Year Note Auction (May)
1086080400,2,USD,Business Inventories (MoM) (May)
1086080400,3,USD,CB Consumer Confidence (May)
1086080400,2,USD,Chicago PMI (May)
1086080400,3,USD,Core CPI (MoM) (May)
1086080400,2,USD,Core CPI (YoY) (May)
1086080400,2,USD,Core PCE Price Index (MoM) (May)
1086080400,2,USD,Core PCE Price Index (YoY) (May)
1086080400,3,USD,Core Retail Sales (MoM) (May)
1086080400,2,USD,CPI (MoM) (May)
1086080400,3,USD,Crude Oil Inventories (May)
1086080400,2,USD,Existing Home Sales (MoM) (May)
1086080400,3,USD,Existing Home Sales (May)
1086080400,2,USD,Export Price Index (MoM) (May)
1086080400,2,USD,Factory Orders (MoM) (May)
1086080400,2,USD,Federal Budget Balance (May)
1086080400,2,USD,Housing Starts (MoM) (May)
1086080400,2,USD,Housing Starts (May)
1086080400,2,USD,Import Price Index (MoM) (May)
