year,period,value,footnote_code,footnote_text,supersector_name,industry_name,seasonal_text,data_type_text,series_id,seasonal,begin_year,begin_period,end_year,end_period,serialid
1952,June,74.50,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3018
1984,July,35.1,,,Total private,Total private,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000007,S,1964,M01,2015,October,1238
1984,August,35.0,,,Total private,Total private,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000007,S,1964,M01,2015,October,1239
1952,August,80.36,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3020
1968,June,123.53,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2248
1952,September,83.95,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3021
1968,July,124.03,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2249
1982,February,42.7,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100007,S,1972,M01,2015,September,4650
1969,April,131.87,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2258
1982,March,42.7,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100007,S,1972,M01,2015,September,4651
1953,September,86.10,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3032
1981,April,258.75,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1260
1953,October,85.89,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3033
1982,May,42.4,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100007,S,1972,M01,2015,September,4653
1981,September,264.95,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1265
1969,September,135.01,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2263
1982,August,42.5,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100007,S,1972,M01,2015,September,4656
1969,October,134.74,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2264
1981,December,266.64,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1268
1982,October,43.1,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100007,S,1972,M01,2015,September,4658
1969,December,137.02,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2266
1954,June,84.65,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3040
1954,July,83.82,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3041
1982,August,275.52,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1275
1954,September,84.66,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3043
1954,October,85.27,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3044
1982,December,278.29,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1279
1954,November,86.53,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3045
1983,May,43.9,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100007,S,1972,M01,2015,September,4664
1983,June,43.6,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100007,S,1972,M01,2015,September,4665
1983,June,285.83,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1284
