year,period,value,footnote_code,footnote_text,supersector_name,industry_name,seasonal_text,data_type_text,series_id,seasonal,begin_year,begin_period,end_year,end_period,serialid
1983,Annual Average,203.40,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1728
1987,M01,38.5,,,Transportation and warehousing,Transportation and warehousing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4300000007,S,1972,M01,2015,October,7
1983,November,206.05,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1730
1985,M01,38.9,,,Transportation and warehousing,Transportation and warehousing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4300000007,S,1972,M01,2015,October,9
1983,September,215.01,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1732
1983,M01,38.2,,,Transportation and warehousing,Transportation and warehousing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4300000007,S,1972,M01,2015,October,11
1983,July,230.51,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1734
1981,M01,39.5,,,Transportation and warehousing,Transportation and warehousing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4300000007,S,1972,M01,2015,October,13
1983,May,202.88,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1736
1979,M01,39.7,,,Transportation and warehousing,Transportation and warehousing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4300000007,S,1972,M01,2015,October,15
1983,March,192.49,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1738
1977,M01,39.8,,,Transportation and warehousing,Transportation and warehousing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4300000007,S,1972,M01,2015,October,17
