ID,Stock,Date,Open,High,Low,Close,Adj Close,Volume
1,Google,19/08/2004,49.676899,51.693783,47.669952,49.845802,49.845802,44994500
2,Apple,22/11/2005,9.262857,9.537143,9.217143,9.502857,6.433021,135070600
3,Apple,23/11/2005,9.554286,9.711429,9.527143,9.587143,6.490079,121463300
4,Apple,25/11/2005,9.665714,9.934286,9.642858,9.905714,6.705738,98753200
5,Apple,28/11/2005,10.102858,10.152857,9.867143,9.951428,6.736685,254629900
6,Apple,29/11/2005,9.998571,10.042857,9.621428,9.728572,6.585821,222858300
7,Apple,30/11/2005,9.775714,9.835714,9.645715,9.688571,6.558742,148918700
8,Apple,1/12/2005,9.85,10.247143,9.83,10.228572,6.924299,203223300
9,Apple,2/12/2005,10.324286,10.391429,10.1,10.375714,7.02391,223940500
10,Apple,5/12/2005,10.278571,10.361428,10.212857,10.26,6.945575,145917800
11,Apple,6/12/2005,10.561429,10.69,10.478572,10.578571,7.161233,214257400
12,Apple,7/12/2005,10.604285,10.637143,10.445714,10.564285,7.151562,169866200
13,Apple,8/12/2005,10.457143,10.595715,10.371428,10.582857,7.164134,197619800
14,Apple,9/12/2005,10.601429,10.655714,10.478572,10.618571,7.188313,138850600
15,Apple,12/12/2005,10.695714,10.764286,10.651428,10.701428,7.244401,131248600
16,Apple,13/12/2005,10.692857,10.78,10.601429,10.711429,7.251172,123454100
17,Apple,14/12/2005,10.361428,10.471429,10.038571,10.287143,6.963948,362679100
18,Apple,15/12/2005,10.382857,10.408571,10.192857,10.311429,6.980389,140290500
19,Apple,16/12/2005,10.305715,10.328571,10.151428,10.158571,6.876913,167792800
20,Apple,19/12/2005,10.158571,10.371428,10.148571,10.197143,6.903023,132323800
21,Apple,20/12/2005,10.232857,10.34,10.16,10.301429,6.973619,119777000
22,Apple,21/12/2005,10.371428,10.515715,10.362857,10.5,7.108043,118934200
23,Apple,22/12/2005,10.558572,10.641429,10.514286,10.574286,7.158331,92652700
24,Apple,23/12/2005,10.595715,10.608571,10.471429,10.478572,7.093538,57464400
25,Apple,27/12/2005,10.571428,10.74,10.564285,10.604285,7.17864,147647500
26,Apple,28/12/2005,10.638572,10.68,10.474286,10.51,7.114813,99528800
27,Apple,29/12/2005,10.54,10.545714,10.202857,10.207143,6.909791,122506300
28,Apple,30/12/2005,10.13,10.347143,10.048572,10.27,6.952344,156065700
29,Apple,3/1/2006,10.34,10.678572,10.321428,10.678572,7.228929,201808600
30,Apple,4/1/2006,10.732857,10.854285,10.642858,10.71,7.250205,154900900
31,Apple,5/1/2006,10.69,10.7,10.535714,10.625714,7.193145,112355600
32,Apple,6/1/2006,10.75,10.957143,10.65,10.9,7.378825,176114400
33,Apple,9/1/2006,10.961429,11.028571,10.82,10.864285,7.354649,168760200
34,Apple,10/1/2006,10.892858,11.698571,10.832857,11.551429,7.819816,569967300
35,Apple,11/1/2006,11.977143,12.114285,11.798572,11.985714,8.113807,373448600
36,Apple,12/1/2006,12.138572,12.342857,11.945714,12.041429,8.151525,320202400
37,Apple,13/01/2006,12.141429,12.287143,12.085714,12.227143,8.277245,194076400
38,Apple,17/01/2006,12.242857,12.34,11.981428,12.101429,8.192142,208905900
39,Apple,18/01/2006,11.868571,12.007143,11.692857,11.784286,7.977451,300159300
40,Apple,19/01/2006,11.607142,11.665714,11.248571,11.291429,7.643807,423962000
41,Apple,20/01/2006,11.325714,11.434286,10.832857,10.87,7.358516,283689700
42,Apple,23/01/2006,10.871428,11.365714,10.857142,11.095715,7.511317,264932500
43,Apple,24/01/2006,11.251429,11.345715,10.824286,10.862857,7.353682,285563600
44,Apple,25/01/2006,11.055715,11.071428,10.464286,10.6,7.175739,318946600
45,Apple,26/01/2006,10.647142,10.775714,10.275714,10.332857,6.994895,295346800
46,Apple,27/01/2006,10.421429,10.514286,10.157143,10.29,6.965883,238466200
47,Apple,30/01/2006,10.167143,10.942857,10.124286,10.714286,7.253107,349600300
48,Apple,31/01/2006,10.785714,10.905714,10.535714,10.787143,7.302428,228385500
49,Apple,1/2/2006,10.707143,10.922857,10.662857,10.774285,7.293722,130296600
50,Apple,2/2/2006,10.728572,10.765715,10.292857,10.3,6.972652,176830500
51,Apple,3/2/2006,10.32,10.398571,10.148571,10.264286,6.948476,173030900
52,Apple,6/2/2006,10.288571,10.358571,9.534286,9.614285,6.508452,412941900
53,Apple,7/2/2006,9.752857,9.925714,9.525714,9.657143,6.537466,347207700
54,Apple,8/2/2006,9.784286,9.868571,9.428572,9.83,6.654483,238278600
55,Apple,9/2/2006,9.871428,9.89,9.218572,9.278571,6.281189,287441000
56,Apple,10/2/2006,9.311429,9.667143,8.985714,9.615714,6.509419,440119400
